Number of rooms,Area (m2),Price (€),Price per m2 (€),Zone,Link
2,57,47500,833,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-nou-la-casa-zona-cantemir-oradea-IDlTl6.html#612df595f6
1,45,36900,820,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/apartament-cu-o-camera-nou-la-casa-zona-cantemir-oradea-IDlTky.html#612df595f6
3,97,87500,902,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-vanzare-zona-prima-nufarul-oradea-IDlllp.html#612df595f6
3,84,60990,657,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-bulevardul-dacia-IDlWkq.html#612df595f6
3,72,65700,913,Splaiul Crisanei,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-pe-malul-crisului-repede-in-zona-decebal-IDlOpu.html#612df595f6
9,330,185000,561,Olosig,https://www.storia.ro/ro/oferta/sapient-apartament-la-casa-zona-george-enescu-IDfjbp.html#612df595f6
2,63,69000,1095,Seleus,https://www.storia.ro/ro/oferta/apartament-2-camere-prima-nufarul-IDjz5d.html#612df595f6
3,88,71000,807,Olosig,https://www.storia.ro/ro/oferta/apartament-la-casa-ultracentral-zona-bdul-magheru-IDjBsi.html#612df595f6
3,92,67500,734,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vnzare-n-zona-rogerius-IDkpqU.html#612df595f6
4,95,75000,789,Splaiul Crisanei,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-apartament-4-camere-decebal-oradea-v2060-IDhYlJ.html#612df595f6
3,102,79500,779,Subcetate,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vnzare-n-zona-ultracentral-IDhRBN.html#612df595f6
3,80,55500,694,Rogerius,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-str-aleea-sulfinei-rogerius-IDkEU3.html#612df595f6
3,82,64000,780,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-nufarul-IDlJdE.html#0d86c5b7dc
3,85,84000,988,Decebal-Dacia,https://www.storia.ro/ro/oferta/aprtament-3-camere-bd-dacia-IDlRTh.html#0d86c5b7dc
3,84,60990,657,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-bulevardul-dacia-IDlWkq.html#0d86c5b7dc
3,75,65000,867,Decebal-Dacia,https://www.storia.ro/ro/oferta/ap-3-camere-sovata-75-00-mp-IDhMpk.html#0d86c5b7dc
2,70,53000,757,Salca,https://www.storia.ro/ro/oferta/apartament-2-camere-mobilat-utilat-aleea-salca-IDlukN.html#0d86c5b7dc
2,53,46500,877,Universitatii,https://www.storia.ro/ro/oferta/apartament-galileo-galilei-IDlEdH.html#0d86c5b7dc
3,90,74500,828,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-tip-pc-velenta-oradea-IDlYwp.html#0d86c5b7dc
4,106,72700,686,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-4-camere-coposu-colt-cu-lacul-rosu-IDkynI.html#0d86c5b7dc
2,50,65000,1300,Oradea,https://www.storia.ro/ro/oferta/apartament-nou-de-vanzare-zona-universitatii-oradea-IDkFPl.html#0d86c5b7dc
8,164,220000,1341,Orasul Nou,https://www.storia.ro/ro/oferta/gaminvest-3-apartamente-ultracentrale-de-vanzare-oradea-a1394h-IDiiOg.html#0d86c5b7dc
3,127,92400,728,Iosia,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-premium-decebal-IDlm33.html#0d86c5b7dc
3,78,110000,1410,Olosig,https://www.storia.ro/ro/oferta/sapient-de-vanzare-apartament-3-cam-ultracentral-IDi1xf.html#0d86c5b7dc
4,102,84900,832,Rogerius,https://www.storia.ro/ro/oferta/vnzare-apartament-deosebit-cu-4-camere-parter-rogerius-IDm4SP.html#0d86c5b7dc
3,82,77000,939,Nicolae Grigorescu,https://www.storia.ro/ro/oferta/apartament-3-camere-cartier-rezidential-nou-grigorescu-oradea-IDlYtw.html#0d86c5b7dc
2,60,53500,892,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-zona-theodor-sperantia-IDlwLj.html#0d86c5b7dc
2,60,50000,833,Oradea,https://www.storia.ro/ro/oferta/vanzare-apartament-2-camere-48-mp-et-6-cu-lift-zona-garii-tersa-7-m-IDkYEn.html#0d86c5b7dc
4,140,125000,893,Olosig,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-str-george-cosbuc-oradea-IDgnUU.html#0d86c5b7dc
3,90,79500,883,Oradea,https://www.storia.ro/ro/oferta/3-camere-zona-dragos-voda-IDgE68.html#0d86c5b7dc
2,65,67500,1038,Oradea,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-zona-ultracentrala-oradea-IDlZFY.html#0d86c5b7dc
3,84,104200,1240,Iosia,https://www.storia.ro/ro/oferta/apartament-nou-cu-trei-camere-de-vanzare-iosia-oradea-IDl1Jz.html#0d86c5b7dc
3,75,59999,800,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-str-oc-goga-IDlWos.html#0d86c5b7dc
2,65,78500,1208,Nufarul,https://www.storia.ro/ro/oferta/apartament-lux-de-vanzare-cartier-nufarul-oradea-IDjRoQ.html#0d86c5b7dc
1,40,29900,748,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-recent-renovat-la-casa-ultracentral-oradea-IDhVsz.html#0d86c5b7dc
3,90,72000,800,Oradea,https://www.storia.ro/ro/oferta/vand-apartament-3-camere-complet-mobilat-si-utilat-cu-dubla-orientare-IDlRIT.html#0d86c5b7dc
3,105,87000,829,Oncea,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vanzare-in-oncea-cartierul-soarelui-IDm3iv.html#0d86c5b7dc
2,98,105000,1071,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-ultracentral-2-camere-cu-posibilitate-de-mansardare-IDlUmZ.html#0d86c5b7dc
2,56,53000,946,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-zona-cantemir-oradea-IDluVx.html#0d86c5b7dc
3,65,75000,1154,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-rogerius-IDlRFE.html#5166378514
3,84,60990,657,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-bulevardul-dacia-IDlWkq.html#5166378514
3,75,73300,977,Velenta,https://www.storia.ro/ro/oferta/apartament-spatios-confort-1-decomandat-3-camere-IDlN17.html#5166378514
3,80,68000,909,Oradea,https://www.storia.ro/ro/oferta/apartamament-3-camere-de-vanzare-zona-rogerius-IDlmaF.html#5166378514
3,82,70500,860,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-pb-la-cheie-IDeRYD.html#5166378514
4,140,115000,821,Nufarul 2,https://www.storia.ro/ro/oferta/penthouse-nufaru-plazza-IDjbf3.html#5166378514
2,96,87400,910,Olosig,https://www.storia.ro/ro/oferta/casa-la-curte-comuna-cu-2-camere-de-vnzare-n-zona-ultracentrala-IDm1c4.html#5166378514
4,123,149000,1211,Rogerius,https://www.storia.ro/ro/oferta/apartament-de-vanzare-central-str-vasile-alecsandri-ID7sgK.html#5166378514
2,65,64000,985,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-zona-nufarul-oradea-IDluQg.html#5166378514
4,205,185000,902,Orasul Nou,https://www.storia.ro/ro/oferta/sapient-de-vnzare-apartament-premium-pe-str-tudor-vladimirescu-IDm5IR.html#5166378514
3,65,75000,1154,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-rogerius-IDlRFE.html#5166378514
2,62,52000,839,Oradea,https://www.storia.ro/ro/oferta/iosia-apartament-2-camere-IDlYRn.html#5166378514
2,68,72000,1059,Oradea,https://www.storia.ro/ro/oferta/luceafarul-vanzare-2-camere-lux-IDlleU.html#5166378514
3,117,150000,1282,Orasul Nou,https://www.storia.ro/ro/oferta/vanzare-apartamente-delta-premium-residence-oradea-IDkIIg.html#5166378514
1,21,22700,1081,Subcetate,https://www.storia.ro/ro/oferta/apartament-cu-1-camera-de-vanzare-central-IDkTlQ.html#5166378514
4,195,186000,954,Orasul Nou,https://www.storia.ro/ro/oferta/penthouse-de-vanzare-bloc-nou-ultracentral-oradea-v2403i-IDlwIL.html#5166378514
3,107,129000,1206,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vanzare-bloc-nou-ultracentral-oradea-v2403g-IDlwHd.html#5166378514
2,79,95000,1203,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-de-vanzare-bloc-nou-ultracentral-oradea-v2403f-IDlwGS.html#5166378514
2,103,133000,1291,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-zona-centrala-oradea-IDl1vr.html#5166378514
1,65,70500,1085,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-in-prima-nufaru-oradea-IDm4jH.html#5166378514
3,126,75600,600,Splaiul Crisanei,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-splaiul-crisanei-oradea-IDk9ok.html#5166378514
3,74,68000,919,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-rogerius-oradea-IDl1pM.html#5166378514
3,50,71800,860,Calea Aradului,https://www.storia.ro/ro/oferta/apartamente-de-vanzare-in-bloc-nou-calea-aradului-IDfDL3.html#5166378514
3,68,59900,881,Nufarul,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-apartament-3-camere-in-zona-nufarul-oradea-v1768-IDkfs7.html#5166378514
3,48,68000,735,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-iosia-IDm5vS.html#5166378514
2,80,93000,923,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-deosebit-de-vanzare-15mp-terasa-cart-luceafarul-IDlY5f.html#5166378514
3,139,158500,1140,Olosig,https://www.storia.ro/ro/oferta/apartament-deosebit-in-inima-orasului-langa-palatul-justitiei-IDlTVy.html#5166378514
2,98,105000,1071,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-ultracentral-2-camere-cu-posibilitate-de-mansardare-IDlUmZ.html#832b8b2c4f
3,87,73000,839,Olosig,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-IDlRTK.html#832b8b2c4f
3,90,72000,800,Oradea,https://www.storia.ro/ro/oferta/vand-apartament-3-camere-complet-mobilat-si-utilat-cu-dubla-orientare-IDlRIT.html#832b8b2c4f
3,81,72500,895,Nufarul 2,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-victoria-rezidential-nufarul-IDkjJt.html#832b8b2c4f
2,72,55000,764,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-an-c-coposu-rogerius-oradea-IDjo2e.html#832b8b2c4f
2,49,62500,1276,Universitatii,https://www.storia.ro/ro/oferta/apartament-de-vanzare-2-camere-prima-universitatii-oradea-IDlZE5.html#832b8b2c4f
2,73,79500,1089,Iosia,https://www.storia.ro/ro/oferta/apartament-lux-de-vanzare-prima-onestilor-oradea-IDlQMP.html#832b8b2c4f
3,110,109000,991,Oradea,https://www.storia.ro/ro/oferta/ared-kaufland-vanzare-3-camere-IDl3HE.html#832b8b2c4f
3,97,70000,722,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-la-cheie-aproape-de-lotus-IDkJGs.html#832b8b2c4f
2,60,47000,783,Rogerius,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-rogerius-oradea-IDkMGZ.html#832b8b2c4f
4,173,177000,1023,Orasul Nou,https://www.storia.ro/ro/oferta/sapient-apartament-cu-4-camere-pe-str-vasile-alecsandri-IDhaGv.html#832b8b2c4f
4,120,95000,792,Olosig,https://www.storia.ro/ro/oferta/apartament-cu-4-camere-de-vnzare-n-zona-ultracentral-IDjh4x.html#832b8b2c4f
4,133,113000,850,Olosig,https://www.storia.ro/ro/oferta/doua-apartamente-cu-4-camere-de-vnzare-n-zona-ultracentral-IDkrn7.html#832b8b2c4f
3,90,65000,722,Oradea,https://www.storia.ro/ro/oferta/3-camere-an-2-bai-2-balcoane-coposu-IDh7ti.html#832b8b2c4f
2,60,45000,750,Rogerius,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandate-str-traian-lalescu-rogerius-IDkQr1.html#832b8b2c4f
2,96,105000,1094,Orasul Nou,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-apartament-cu-2-camere-si-mansarda-oradea-v2271a-IDk21b.html#832b8b2c4f
1,51,49000,961,Olosig,https://www.storia.ro/ro/oferta/apartament-cu-1-camera-n-zona-central-IDkP5R.html#832b8b2c4f
3,138,105000,761,Orasul Nou,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-apartament-cu-3-camere-oradea-v2271-IDk20G.html#832b8b2c4f
2,58,57000,983,Splaiul Crisanei,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-de-vanzare-cartier-decebal-oradea-a1443-IDkHqH.html#832b8b2c4f
1,37,36000,973,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/garsoniera-de-vanzare-zona-salca-cantemir-oradea-IDlV1L.html#832b8b2c4f
1,40,43000,1075,Oradea,https://www.storia.ro/ro/oferta/garsoniera-lux-de-vanzare-in-rogerius-str-aluminei-IDlQeh.html#832b8b2c4f
3,75,110000,1467,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-zona-iosia-str-cazaban-IDlWK3.html#832b8b2c4f
1,44,55000,1250,Orasul Nou,https://www.storia.ro/ro/oferta/sapient-apartament-ultracentral-situat-in-piata-unirii-IDhxiN.html#832b8b2c4f
3,85,96000,1129,Oradea,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-3-camere-in-zona-centrala-oradea-v2127-IDi1jc.html#832b8b2c4f
4,130,92900,715,Rogerius,https://www.storia.ro/ro/oferta/apartament-4-cam-central-republicii-IDd3zr.html#832b8b2c4f
3,86,70000,814,Rogerius,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-3-camere-de-vanzare-rogerius-oradea-a1479-IDkcnS.html#832b8b2c4f
2,47,58500,1245,Subcetate,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-2-camere-de-vanzare-central-oradea-v2128-IDi1gV.html#832b8b2c4f
3,90,72000,800,Oradea,https://www.storia.ro/ro/oferta/vand-apartament-3-camere-complet-mobilat-si-utilat-cu-dubla-orientare-IDlRIT.html#a7ba09a530
3,65,75000,1154,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-rogerius-IDlRFE.html#a7ba09a530
3,84,60990,657,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-bulevardul-dacia-IDlWkq.html#a7ba09a530
3,90,86700,963,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-iosia-residence-oradea-IDlmhw.html#a7ba09a530
5,156,119000,763,Podgoria,https://www.storia.ro/ro/oferta/penthouse-de-vanzare-pe-str-gheorghe-doja-IDjj1F.html#a7ba09a530
2,65,59000,908,Oradea,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-2-camere-de-vanzare-tip-pb-parter-velenta-IDkHkc.html#a7ba09a530
4,162,108900,672,Nicolae Iorga,https://www.storia.ro/ro/oferta/apartament-nou-4-camere-de-vanzare-facliei-oradea-IDbZqD.html#a7ba09a530
3,80,75000,938,Rogerius,https://www.storia.ro/ro/oferta/apartament-modern-cu-3-camere-63mp-etaj-1-4-rogerius-IDjV6E.html#a7ba09a530
3,80,63000,788,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-3-camere-61mp-etaj-2-4-dacia-IDjV6b.html#a7ba09a530
2,85,63000,741,Nufarul 2,https://www.storia.ro/ro/oferta/ap-2-camere-nufarul-85-00-mp-IDlEiF.html#a7ba09a530
4,95,87500,921,Oradea,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-zona-cazaban-IDl9nA.html#a7ba09a530
3,258,120000,465,Calea Aradului,https://www.storia.ro/ro/oferta/sapient-ap-cu-3-cam-lux-in-bloc-luceafarul-IDm454.html#a7ba09a530
3,59,65000,1102,Olosig,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-central-republicii-IDkSqx.html#a7ba09a530
3,75,68500,913,Rogerius,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-tip-b-rogerius-oradea-IDlW7b.html#a7ba09a530
2,60,59500,992,Nufarul,https://www.storia.ro/ro/oferta/apartament-doua-dormitoare-de-vanzare-nufarul-oradea-IDlW1D.html#a7ba09a530
1,50,36700,734,Nufarul,https://www.storia.ro/ro/oferta/vnd-apartament-1-camer-strada-bumbacului-nufrul-IDlv2v.html#a7ba09a530
2,69,65000,942,Universitatii,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-prima-universitatii-IDiW7c.html#a7ba09a530
4,97,58000,598,Seleus,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-4-camere-de-vanzare-velenta-oradea-v2340-IDkN12.html#a7ba09a530
3,82,64000,780,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-nufarul-IDlJdE.html#a7ba09a530
2,60,49900,832,Oradea,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-zona-ultracentrala-oradea-av065-IDhZBo.html#a7ba09a530
2,75,67000,893,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-tip-u-de-vanzare-pe-bulevardul-dacia-oradea-IDlDB9.html#a7ba09a530
2,80,74900,936,Nufarul 2,https://www.storia.ro/ro/oferta/apartament-spatios-de-vanzare-bloc-nou-nufarul-ii-oradea-IDlVyh.html#a7ba09a530
2,73,62400,855,Iosia,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-prima-premium-decebal-IDllm2.html#a7ba09a530
3,93,93000,1000,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-universitatii-oradea-IDlm0A.html#a7ba09a530
3,90,60000,667,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-vanzare-zona-mestesugarilor-oradea-IDllZn.html#a7ba09a530
3,120,125000,1042,Dorobantilor,https://www.storia.ro/ro/oferta/apartament-3-cam-de-vanzare-rezidential-nou-cantemir-IDlbMA.html#a7ba09a530
1,32,38500,1203,Rogerius,https://www.storia.ro/ro/oferta/apartament-o-camera-de-vanzare-rogerius-oradea-IDlu8c.html#a7ba09a530
1,57,45423,881,Nufarul 2,https://www.storia.ro/ro/oferta/anastasia-residence-oradea-2-camere-IDkYQ3.html#796ef742a3
3,87,73000,839,Olosig,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-IDlRTK.html#796ef742a3
3,86,82000,953,Orasul Nou,https://www.storia.ro/ro/oferta/vnzare-apartament-la-cas-ultracentral-IDlVmA.html#796ef742a3
3,96,109900,1145,Iosia,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-premium-decebal-IDlbLz.html#796ef742a3
2,85,72500,853,Nufarul 2,https://www.storia.ro/ro/oferta/vnd-apartament-2-camere-cartier-rezidenial-nufrul-plazza-IDl0Uv.html#796ef742a3
2,65,36500,562,Oradea,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-ultracentral-IDlr5J.html#796ef742a3
2,58,56000,966,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/apartament-zona-piata-mare-ciccero-IDiQr4.html#796ef742a3
4,108,84000,778,Splaiul Crisanei,https://www.storia.ro/ro/oferta/apartament-4-camere-IDkL0t.html#796ef742a3
3,80,69500,869,Rogerius,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-str-italiana-rogerius-IDkQrN.html#796ef742a3
2,78,108000,1385,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-zona-lapusului-IDlejc.html#796ef742a3
2,60,52000,867,Rogerius,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-rogerius-oradea-IDkU3X.html#796ef742a3
3,78,69900,896,Rogerius,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-3-camere-de-vanzare-rogerius-oradea-v2301-IDkhDe.html#796ef742a3
3,86,82000,953,Orasul Nou,https://www.storia.ro/ro/oferta/vnzare-apartament-la-cas-ultracentral-IDlVmA.html#796ef742a3
2,75,46000,613,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-curte-comuna-iosia-oradea-IDl45I.html#796ef742a3
3,80,67000,838,Rogerius,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-rogerius-c-coposu-IDkiwC.html#796ef742a3
3,55,56000,1018,Rogerius,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-tip-x-rogerius-oradea-IDm5fC.html#796ef742a3
2,55,68300,1242,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-ultracentral-oradea-IDkFOY.html#796ef742a3
2,57,47500,833,Olosig,https://www.storia.ro/ro/oferta/apartament-2-cam-tip-d-parter-inalt-46-mp-utili-boxa-IDm60D.html#796ef742a3
2,58,68800,1186,Subcetate,https://www.storia.ro/ro/oferta/apartament-doua-camere-de-vanzare-ultracentral-oradea-IDkHZV.html#796ef742a3
4,98,84000,857,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-lux-strada-splaiul-crisanei-IDm0U2.html#796ef742a3
2,60,69999,1167,Oradea,https://www.storia.ro/ro/oferta/sapient-apartamente-grand-hill-residence-oradea-IDhPDV.html#796ef742a3
3,98,89900,917,Iosia,https://www.storia.ro/ro/oferta/apartament-calea-aradului-IDlZ2a.html#796ef742a3
2,66,60500,917,Oradea,https://www.storia.ro/ro/oferta/apartament-nou-2-camere-parcare-prima-nufarul-IDm0GX.html#796ef742a3
2,92,65000,707,Dragos Voda,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-apartament-cu-3-camere-oradea-v1944-IDhyhn.html#796ef742a3
3,87,75000,862,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vanzare-calea-aradului-oradea-a1554a-IDlQUq.html#796ef742a3
3,80,62000,775,Dragos Voda,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-3-camere-de-vanzare-dragos-voda-oradea-v2326-IDl0X5.html#796ef742a3
2,40,52000,1300,Rogerius,https://www.storia.ro/ro/oferta/apartament-2-camere-rogerius-IDlifP.html#796ef742a3
2,98,105000,1071,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-ultracentral-2-camere-cu-posibilitate-de-mansardare-IDlUmZ.html#99b82f529a
1,30,24800,1222,Olosig,https://www.storia.ro/ro/oferta/vand-garsoniera-piata-decebal-20mp-str-menumorut-nr-8-IDm5RS.html#99b82f529a
3,75,73300,977,Velenta,https://www.storia.ro/ro/oferta/apartament-spatios-confort-1-decomandat-3-camere-IDlN17.html#99b82f529a
2,57,56000,982,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-dacia-IDli9B.html#99b82f529a
4,101,93000,921,Oradea,https://www.storia.ro/ro/oferta/apartament-cu-4-camere-de-vanzare-pe-str-transilvaniei-IDlBmb.html#99b82f529a
3,116,95000,819,Oradea,https://www.storia.ro/ro/oferta/gaminvest-v2002-apartament-in-bloc-nou-de-vanzare-cu-2-camere-in-ared-IDlSdO.html#99b82f529a
3,80,77000,963,Iosia,https://www.storia.ro/ro/oferta/apartament-3-camere-nou-de-vanzare-prima-onestilor-oradea-IDlmhl.html#99b82f529a
2,65,57900,891,Nufarul,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-nufarul-plaza-IDjDdX.html#99b82f529a
3,82,76300,930,Rogerius,https://www.storia.ro/ro/oferta/apartament-3-camere-confort-1-rogerius-IDlMFY.html#99b82f529a
2,77,74900,973,Iosia,https://www.storia.ro/ro/oferta/apartament-nou-cu-2-camere-de-vanzare-situat-in-bloc-nou-iosia-IDlFxt.html#99b82f529a
2,65,67000,1031,Oradea,https://www.storia.ro/ro/oferta/nufarul-plaza-bloc-nou-2-camere-lux-IDlxC7.html#99b82f529a
3,85,76500,900,Olosig,https://www.storia.ro/ro/oferta/gaminvest-apartament-3-camere-de-vanzare-zona-dacia-oradea-v2287-IDkhYZ.html#99b82f529a
3,80,58000,725,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-de-vanzare-2-camere-zona-decebal-oradea-IDg1un.html#99b82f529a
3,85,84000,988,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-zona-bulevardul-dacia-oradea-IDlWYO.html#99b82f529a
3,74,59000,797,Oradea,https://www.storia.ro/ro/oferta/sapient-ap-cu-3-cam-pe-str-doinei-IDlWCq.html#99b82f529a
3,80,74500,931,Calea Santandrei,https://www.storia.ro/ro/oferta/apartament-3-camere-ioia-nord-IDlvdi.html#99b82f529a
2,52,68500,1317,Oradea,https://www.storia.ro/ro/oferta/vand-schimb-apartament-ared-prima-shops-kaufland-decebal-2-camere-IDkYqD.html#99b82f529a
2,68,50000,735,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-la-casa-ultracentral-IDlvcv.html#99b82f529a
3,50,125500,1301,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-zona-iosia-oradea-IDll2g.html#99b82f529a
3,75,67000,893,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-iosia-IDlEhj.html#99b82f529a
4,110,99000,900,Oradea,https://www.storia.ro/ro/oferta/vand-apartament-4-camere-ultracentral-bd-magheru-oradea-IDgwTG.html#99b82f529a
4,105,79500,757,Oradea,https://www.storia.ro/ro/oferta/apartamet-4-camere-tip-c-de-vanzare-zona-splaiul-crisanei-oradea-IDll17.html#99b82f529a
3,25,68000,640,Rogerius,https://www.storia.ro/ro/oferta/gaminvest-apartament-tip-an-cu-3-camere-lacul-rosu-oradea-v2338-IDkGYy.html#99b82f529a
2,51,50500,990,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-pe-bulevardul-decebal-langa-smo-IDlTu0.html#99b82f529a
2,65,52000,800,Rogerius,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-2-camere-decomandat-rogerius-oradea-v2052-IDknjr.html#99b82f529a
5,192,160000,833,Orasul Nou,https://www.storia.ro/ro/oferta/gaminvest-de-vanzare-apartament-5-camere-ultracentral-oradea-v1762-IDk7XG.html#99b82f529a
2,51,46000,902,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-tip-y-de-vanzare-zona-rogerius-IDlZrv.html#99b82f529a
3,65,75000,1154,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-in-rogerius-IDlRFE.html#2d021c46d5
3,82,76300,930,Rogerius,https://www.storia.ro/ro/oferta/apartament-3-camere-confort-1-rogerius-IDlMFY.html#2d021c46d5
2,59,61700,1046,Rogerius,https://www.storia.ro/ro/oferta/apartament-deosebit-complet-renovat-mobilat-si-utilat-rogerius-IDlMvg.html#2d021c46d5
4,176,120000,682,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-la-casa-cu-4-camere-central-oradea-v2317-IDkZip.html#2d021c46d5
2,50,60000,764,Decebal-Dacia,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-2-camere-decebal-oradea-bihor-v2392a-IDlhVp.html#2d021c46d5
3,96,80500,839,Dorobantilor,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-3-camere-piata-cetatii-oradea-v2392-IDlhSp.html#2d021c46d5
4,120,99000,825,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-blvd-dacia-oradea-IDkMOC.html#2d021c46d5
