Number of rooms,Area (m2),Price (€),Price per m2 (€),Zone,Link
2,70,49000,700,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-recent-renovat-cu-2-camere-de-vanzare-ultracentral-IDhVsX.html#b89960e18b
2,75,53900,719,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-str-fagului-oradea-IDkiXC.html#b89960e18b
3,85,86000,1012,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-zona-centrala-IDhOKK.html#b89960e18b
4,150,105000,700,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-generos-la-casa-str-vasile-alecsandri-pietonal-IDfDDh.html#b89960e18b
2,68,56900,837,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-b-dul-dacia-IDf55G.html#b89960e18b
2,57,55000,965,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/apartament-zona-cantemir-IDlr4Q.html#b89960e18b
2,42,42000,1000,Nicolae Iorga,https://www.storia.ro/ro/oferta/schimb-apartament-la-casa-central-oradea-IDiFMT.html#b89960e18b
2,71,58500,824,Calea Aradului,https://www.storia.ro/ro/oferta/apartament-nou-2-camere-de-vanzare-calea-aradului-IDjzdj.html#b89960e18b
2,60,65000,1083,Seleus,https://www.storia.ro/ro/oferta/apartament-2-camere-prima-residence-IDli8G.html#b89960e18b
4,145,99000,683,Olosig,https://www.storia.ro/ro/oferta/apartament-de-vanzare-4-camere-centru-120mpu-IDjmz7.html#b89960e18b
3,73,67900,930,Iosia,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-zona-iosia-oradea-IDlI9F.html#b89960e18b
3,85,84000,988,Decebal-Dacia,https://www.storia.ro/ro/oferta/aprtament-3-camere-bd-dacia-IDlRTh.html#0534ec5ca3
2,58,54800,945,Subcetate,https://www.storia.ro/ro/oferta/2-apartamente-zona-piata-1-decembrie-ultracentral-vizavi-oradea-plaza-IDlBmI.html#0534ec5ca3
3,86,82000,953,Orasul Nou,https://www.storia.ro/ro/oferta/vnzare-apartament-la-cas-ultracentral-IDlVmA.html#0534ec5ca3
3,102,99900,979,Oradea,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-bolcas-IDd0ly.html#0534ec5ca3
3,82,80500,982,Universitatii,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-prima-universitatii-oradea-IDkhHu.html#0534ec5ca3
4,124,85000,685,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-cu-4-camere-de-vanzare-bdul-dacia-oradea-IDhvn7.html#0534ec5ca3
3,120,98300,819,Olosig,https://www.storia.ro/ro/oferta/apartament-trei-camere-de-vanzare-ultracentral-oradea-IDilxF.html#0534ec5ca3
2,43,36900,858,Iosia,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-aleea-calinului-oradea-IDkGTt.html#0534ec5ca3
4,125,115000,920,Oradea,https://www.storia.ro/ro/oferta/de-vanzare-apartament-4-camere-zona-centrul-civic-oradea-IDfl8e.html#0534ec5ca3
2,45,37500,833,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-mobilat-zona-calea-aradului-IDkpQN.html#0534ec5ca3
1,40,32000,800,Olosig,https://www.storia.ro/ro/oferta/apartament-de-vanzare-str-andrei-muresanu-zona-parcul-i-c-bratianu-IDkLMF.html#0534ec5ca3
2,64,51900,811,Dragos Voda,https://www.storia.ro/ro/oferta/apartament-nou-cu-2-camere-et-1-semifinisat-str-barierei-din-oradea-IDlZnX.html#0534ec5ca3
2,64,49800,778,Dragos Voda,https://www.storia.ro/ro/oferta/apartament-nou-cu-2-camere-et-3-semifinisat-str-barierei-din-oradea-IDlZnV.html#0534ec5ca3
2,83,59700,719,Dragos Voda,https://www.storia.ro/ro/oferta/apartament-nou-cu-2-camere-et-2-decomandat-semifinisat-str-barierei-IDlZnU.html#0534ec5ca3
2,53,68261,1288,Nufarul,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-IDljOf.html#0534ec5ca3
3,110,57000,518,Olosig,https://www.storia.ro/ro/oferta/apartament-la-casa-p-m-zona-magheru-oradea-IDhHE7.html#0534ec5ca3
2,75,54600,728,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-bloc-nou-IDlIKX.html#0534ec5ca3
2,48,63155,1316,Nufarul,https://www.storia.ro/ro/oferta/apartament-cu-2-camere-IDiwmJ.html#0534ec5ca3
3,44,91335,1511,Nufarul,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-IDiwmz.html#0534ec5ca3
3,67,65900,984,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-pb-3-camere-etaj-2-zona-decebal-IDj1RY.html#0534ec5ca3
1,28,22900,818,Olosig,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-in-zona-centrala-str-ady-endre-IDeFql.html#0534ec5ca3
4,100,82500,825,Splaiul Crisanei,https://www.storia.ro/ro/oferta/apartament-4-camere-de-vanzare-decebal-oradea-IDkBlI.html#0534ec5ca3
3,95,105500,1111,Dimitrie Cantemir,https://www.storia.ro/ro/oferta/apartament-nou-3-camere-de-vanzare-cantemir-parcul-salca-IDkK1b.html#0534ec5ca3
3,90,78000,867,Dorobantilor,https://www.storia.ro/ro/oferta/apartament-3-camere-et-1-4-cantemir-IDlAtd.html#0534ec5ca3
3,82,82900,1011,Iosia,https://www.storia.ro/ro/oferta/apart-3-cam-de-vanzare-prima-decebal-str-onestilor-IDlukW.html#0534ec5ca3
3,82,82900,1011,Iosia,https://www.storia.ro/ro/oferta/apart-3-cam-de-vanzare-prima-decebal-str-onestilor-IDlulf.html#0534ec5ca3
2,61,51500,844,Olosig,https://www.storia.ro/ro/oferta/apartament-la-curte-cu-2-camere-de-vnzare-n-zona-ultracentral-IDkm2w.html#0534ec5ca3
2,98,105000,1071,Orasul Nou,https://www.storia.ro/ro/oferta/apartament-ultracentral-2-camere-cu-posibilitate-de-mansardare-IDlUmZ.html#0c3b7ab7c3
3,90,72000,800,Oradea,https://www.storia.ro/ro/oferta/vand-apartament-3-camere-complet-mobilat-si-utilat-cu-dubla-orientare-IDlRIT.html#0c3b7ab7c3
3,78,88000,1128,Oncea,https://www.storia.ro/ro/oferta/apartament-la-casa-de-vanzare-in-oncea-oradea-IDlMD4.html#0c3b7ab7c3
1,72,69900,971,Oradea,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-in-velenta-str-razboieni-IDlYWL.html#0c3b7ab7c3
3,74,61900,836,Gheorghe Doja,https://www.storia.ro/ro/oferta/apartament-3-camere-de-vanzare-str-gheorghe-doja-oradea-IDgRKu.html#0c3b7ab7c3
3,80,67000,838,Rogerius,https://www.storia.ro/ro/oferta/gaminvest-apartament-cu-3-camere-de-vanzare-rogerius-oradea-v2131-IDi1lN.html#0c3b7ab7c3
3,146,204800,1403,Olosig,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-de-vnzare-n-zona-ultracentral-IDlYQB.html#0c3b7ab7c3
3,146,204800,1403,Olosig,https://www.storia.ro/ro/oferta/doua-apartamente-cu-3-camere-de-vnzare-n-zona-ultracentrala-IDlYQp.html#0c3b7ab7c3
3,70,56900,813,Decebal-Dacia,https://www.storia.ro/ro/oferta/apartament-cu-3-camere-etaj-intermediar-pozitionare-excelenta-IDli8V.html#0c3b7ab7c3
1,38,52142,1359,Oradea,https://www.storia.ro/ro/oferta/apartament-cu-1-camera-IDiIdW.html#0c3b7ab7c3
3,114,85000,746,Subcetate,https://www.storia.ro/ro/oferta/apartament-82-mp-utili-ultracentral-pta-1-decembrie-IDjYDq.html#0c3b7ab7c3
5,200,155000,775,Olosig,https://www.storia.ro/ro/oferta/sapient-apartament-ultracentral-5-camere-IDi6dP.html#0c3b7ab7c3
5,150,157000,1047,Oradea,https://www.storia.ro/ro/oferta/sapient-ap-lux-cu-5-camere-ultracentral-IDki1M.html#0c3b7ab7c3
2,89,67500,758,Orasul Nou,https://www.storia.ro/ro/oferta/ap-2-camere-et-2-ultracentral-primaria-oradea-71-mp-utili-IDhi7V.html#0c3b7ab7c3
